Comment,Location 1,Location 2,Location 3
পা চেটে যখন বেশি চাটে তখন ওইকাজ করে,Rangpur,Nilphamari,
বেশি কষ্ট পেলে বুড়িগঙ্গার পানি খান কষ্ট দূর হয়ে যাবে,Cox's Bazar,,
Vai tumi je kono np na taw amn vab koro tumi np theke boro kico Np der pico pico goro,Dhaka,Khulna,Kushtia
তোহ তুরা দৌড়া,Dhaka,Comilla,
Manush khocha mara o bujhe na ha ha bujhbe kmne leader tader HSC pass mile mishe korbe kaz mane chanda,Narayanganj,,
হেতে এখন ছাত্রদলের উপদেষ্টা হবার চায়। মার থেকে মাসির দরদ উৎলে উঠছে,Dhaka,,
আমাদের কে ও কষ্ট দেয় কিন্তু আমার কষ্টে ছুটে হাসি,Sylhet,,
এইখানে সার্ভিস ভাই কেন কষ্ট পাচ্ছে সেটাই বুঝতে পারবে না আমাদের বয়স্ক সংঘঠন,Dhaka,Mymensingh,Gazipur
"""সেটাই তো দৌড়ানোর কি আছে রে ভাই,, মানে ব্যক্তিত্ব বইলা কিছু নাই",Dhaka,Khulna,Magura
কেমন কষ্ট?,Sylhet,Sunamganj,
"""তুমি যে আপা আগা করতা, আমার আমার৷ ----------",সিলেট,Sylhet,
Chata chati,Dhaka,,
মায়ের থেকে মাসির দরদ বেশি,Dhaka,Pabna,
তোমাকে সুযোগ দিলে কাল থেকে আরও জোড়ে দৌড়ানো শুরু করবা।,Dhaka,,
যো দৌড়ায় তার কষ্ট লজ্জা প্যারা কিছুই তুমি শুধু শুধু প্যারা নাও কেন।,Dhaka,,
ওবায়দুল কাদের বলেছিল খালি দৌড়াচ্ছে,Dhaka,Chittagong,Noakhali
সারা জীবন মন্ত্রীর পিছনে দাঁড়িয়ে থাকা মানুষ আজ কি বলে,Dhaka,Gazipur,
সারজিস আবার সংসদ সদস্য কবে হলো? নিউজে তাই লেখা,রংপুর,বগুড়া,Dhaka
একটু চাটা চাটি না করলে কি আর হয়,Rajshahi,Pabna,
তোমার এতো কষ্ট কেন?,Dhaka,,
জ্বলে হা আমি যদি দৌড়াতে পাইতাম। এভাবে ই হিংসা করে শেখ হাসিনার ঘনঘটা বাজিয়েছি।,Sylhet,,
উড়িষ্যার তেল মারে,গাজীপুর,Mymensingh,
আসলেই তার কোন মূল্যেই নাই,Dhaka,Jamalpur,
"""কষ্টের কি আছে বাড়া,",Thakurgaon,,
হাসিনারে যখন তেলাইতেন তখন খুব সুখ সুখ লাগছে।আমাদের এনসিপি সাহেবর।,ঢাকা,গাজীপুর,Dhaka
তুমি এমপি হও নাই তাই আমরা কষ্ট পাইছি,Dhaka,,
কেন ভাই জায়গা টা কি আপনার লাগবে!!!,Chittagong,,
কারণ তুমি দৌড়াতে পারো না,ঢাকা,Dhaka,Narayanganj
কতবড় মায়াশীল ব্যক্তি রে,Dhaka,,
নিজেরাও তো কম দৌড়ান নাই,Dhaka,,
তুই দৌড়া,Dhaka,Chittagong,
জামাতের নির্বাচনী জনসভায় সাদিক কায়েমদের বক্তব্য প্রচারণায় এনসিপির কলিজা ঠান্ডা হয়ে যায়,ঢাকা,Dhaka,Sirajganj
তো তুই হোন দে যাই,ঢাকা,Feni,
যে দৌর দিছে অলিম্পিক এ একটা মেডেল তার জন্ন্য রাখা উছিৎ ভাবা যায় ছাত্র সংগঠনের সভাপতির কারবার হইলো এই,Dhaka,,
লীগের যখন পা চেটে ছিল তখন কষ্ট লাগেনি,ঠাকুরগাঁও,Dhaka,Rangpur
বাশ টা দিছে একেবারে জায়গা মত।,চট্টগ্রাম,কুষ্টিয়া,Dhaka
Botder sob kichutei JOLE,Dhaka,Chittagong,Lakshmipur
"""এক সময় তিনিও আওয়ামী লীগের নেতাকর্মীদের পিছনে ঠিক এই ভাবেই দৌড়ে বেরাতেন, তাই সে কষ্টটা বুঝতে পারছেন",Dhaka,,
যারা দৌড়ায় তাদের কষ্ট লাগে না,Dhaka,Tangail,
"""সরম দিলে ভাইরে, লাখ টাকা খাওয়াই দিবো রাজনিতীর বাইরে।",Chittagong,Comilla,
মায়ের থেকে মাসির দরদ বেশি হলে যা হয় আরকি।,Dhaka,,
আহ হা রে সোনা গো আমার...,Dhaka,,
মুলদলের উপরের আওয়ামী ঘেঁষা নেতাদের থেকে ছাত্রদল অনেক অনেক ভালো।,Dhaka,Pabna,
কষ্ট হলে তুমিও দৌড়াও,Dhaka,Chittagong,Lakshmipur
কেন তোমার গোয়ায় আগুন লাগছে নাকি???,Dhaka,Barisal,Bhola
আহারে জমিদারের পোলা,Chittagong,Mymensingh,Rangamati
"""সার্ভিস, তুই কোন চ্যাটের চুল?",ঢাকা,Dhaka,Lalmonirhat
Kno,Chittagong,Bandarban,
কষ্টের কি আছে তুমি যখন ছাত্রলীগের লুঙ্গির তলে ছিলা তহন তোমাকে দেখে কষ্ট হতো এটা ভেবে যে মুতে তো ছেলেটা বেশে যাবে,Dhaka,Mymensingh,
নরেন্দ্র মোদী আমার বাবা লাগে এজন্য ইন্ডিয়াতে সাপোর্ট করি ভারতকে আমি ভালোবাসি নরেন্দ্র মোদি আমার আব্বা লাগে এজন্য এজন্য ভারতকে ভালবাসি,Dhaka,,
অন্তরে জালা,নওগাঁ,Dhaka,Gazipur
কোন নেতা যেন বলছিল ভোটের আগে পর্যন্ত আমরা মানুষের ঘরে ঘরে যাব পরে আমাদের পিছনে পিছনে ঘুরবে,Chittagong,Cox's Bazar,
ষার বিয়া তার খবর নাই আর এদিকে সারজিসের ঘুম নাই,Dhaka,Habiganj,
"""একজন কেন্দ্রীয় নেতা যদি এমন করে, তাহলে কর্মী কেমন করবে",Chittagong,Noakhali,
এসব বলে ফর্মে উঠতে চাও বাপু,Chittagong,Cox's Bazar,
ক্যাম্পাস এ রুটি ডাল খাওয়া পুলা যখন এখন কোটি টাকার গাড়ি নিয়ে ঘুরায় এইটা আমাদের অনেক কষ্ট লাগে,দিনাজপুর,Dinajpur,
নয়ন lite,Dhaka,Munshiganj,
তোমার তো সেই সৌভাগ্য হয় নাই রে ছোকরা।,Sylhet,,
আমাকেও,Dhaka,,
"""চিন্তা করা যায় মানুষ কি লেবেলের দলান্ধ হতে পারে ? সে কিন্তু খারাপ কিছু বলে নাই অথচ তাদের কাছে খুব খারাপ লাগতেছে , কারন এরা চা…",Dhaka,Jamalpur,
আহ্ সোনা কষ্ট হচ্ছে বুঝি,Chittagong,Lakshmipur,
আসোলেই,Dhaka,,
টুপি কই ভাস্তে,বগুড়া,Sylhet,Bogura
হুম। তুমি দৌড়াতে না পেরে যে কষ্ট পেয়েছ। বুঝতে পারছি।,Dhaka,,
"""জমিদার, মহাসুখের শেষ হলে সবকিছুতেই কষ্ট হয়। আমরা বুঝি ছাত্রলীগের এজেন্ট যখন বসুযোগ নিয়ে জুলাই এজেন্ট হয়ে যায়, আমাদেরও হাঁসি পায়",Dhaka,,
Jomider er nati nki bole apne?,Dhaka,Thakurgaon,
তুমি দৌড়াতে চাও নাকি,Dhaka,,
সাবেক ছাএলীগ নাকি?,ময়মনসিংহ,,
দৌড়ায় ক্যান,Tangail,,
একটা গাড়ি কিনে দেন,কিশোরগঞ্জ,Mymensingh,Kishoreganj
ও্যার বিচার আগোত হওয়া লাগবে,Dhaka,,
প্রধানমন্ত্রী যে উনার ভাই.......,Dhaka,,
"""বাঙালির রক্তে, হৃদয়ে ,মস্তিষ্কে, দাসত্ব মিশে গেছে এই দাসত্বের শিকল ভাঙ্গা খুবই কঠিন কিন্তু অসম্ভব নয় ,,,,,,",বরিশাল,Dhaka,Barisal
আমাকেও,Dhaka,,
হে দৌড়াইছে তোর সমস্যা কোতাই বিড়ি খুর,Dhaka,Kishoreganj,
আমিও সেম কমেন্ট করছি oi vedio dki...amio obag ওনি কি নেতা নাকি সাধারন ছাত্র ইতিমের মতো দৌড়ালো,দিনাজপুর,Rangpur,
তাহলে তুমি প্রধানমন্ত্রীর গাড়ির পেছনে দৌড়াও শান্তি পাবা,Dhaka,,
"""তোমরা যখন গাড়িতে চড়ে বেড়াইছো , মুরুব্বীরা তোমাদের গাড়ির পেছনে দৌড়াইছে ওটা দেখে আমাদেরও খুব কষ্ট লেগেছে",Dhaka,,
Jubodoler noyoner nam taw bolten,Rangpur,Dinajpur,
তোমাদের কস্টের শেষ নেই গো,Dhaka,Gazipur,
আমিও কষ্ট পাই,Dhaka,,
বুকটা ফাইট্টা যায় এখানে তো দৌড়ানোর কথা ছিল তার খেলা যে চলছে কোন লেবেলে।,Dhaka,,
